Name,AATSC5e,MATS5e,JGI9,JGI10,IC50,FP169,FP204,FP339,FP396,FP490,FP551,FP582,FP606,ExtFP79,ExtFP442,ExtFP584,ExtFP700,ExtFP1010,ExtFP1019,GraphFP158,GraphFP504,GraphFP622,GraphFP762,GraphFP860,GraphFP906,GraphFP1007,MACCSFP26,MACCSFP150,SubFP147,KRFP349,KRFP360,KRFP364,KRFP397,KRFP607,KRFP1538,KRFP2135,KRFP3940,KRFPC349,KRFPC2135,KRFPC2694,KRFPC3139,KRFPC3520,KRFPC4292,PIC50,
anti_NIV_056,-0.007158871,-0.129193958,0,0,1.23E-05,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,
anti_NIV_057,-0.004335518,-0.044845699,0.01142132,0.009338514,1.23E-05,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,
anti_NIV_058,-0.025469379,-0.188178864,0.008333848,0.006883442,1.23E-05,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,
anti_NIV_059,0.002366658,0.03150067,0.009807692,0.008573415,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,
anti_NIV_060,0.040137326,0.203621052,0,0,1.48E-05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.83,
anti_NIV_061,-0.016524973,-0.153014909,0.012883772,0.00808591,2.00E-05,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,
anti_NIV_062,-0.018636696,-0.147353333,0.011049107,0.008914235,2.00E-05,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,
anti_NIV_063,-0.007411729,-0.115003897,0.010245536,0.005509642,2.19E-05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,
anti_NIV_064,4.63E-04,0.01433914,0.011212654,0.008717931,3.09E-05,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,
anti_NIV_065,0.002275043,0.041142889,0.003465909,0.003264973,3.39E-05,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,
